trials,stimulus,number_responses,avg_words_per_response,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
all_trials,imgNew/8T_predict.jpg,294,1.034013605442177,0.24671052631578946,0.23684210526315788,0.13238231717908633,0.2585034013605442,prediction,0.23469387755102042,prediction
all_trials,imgNew/A2T_airport.jpg,288,1.0729166666666667,0.16181229773462782,0.1553398058252427,0.21731181439919303,0.40625,airport,0.3958333333333333,airport
all_trials,imgNew/A6T_subway.jpg,292,1.071917808219178,0.12140575079872204,0.10862619808306709,0.26654788236257887,0.4863013698630137,subway,0.4657534246575342,subway
all_trials,imgNew/A7T_ninja.jpg,294,1.0170068027210883,0.13377926421404682,0.12709030100334448,0.5732980180018405,0.7687074829931972,ninja,0.7585034013605442,ninja
all_trials,imgNew/A9T_disco.jpg,298,1.0268456375838926,0.09477124183006536,0.0915032679738562,0.7239044251580413,0.87248322147651,disco,0.8624161073825504,disco
all_trials,imgNew/B10T_up.jpg,298,1.0469798657718121,0.1282051282051282,0.11217948717948718,0.44610025558578614,0.6946308724832215,up,0.6778523489932886,up
all_trials,imgNew/B11T_wait.jpg,288,1.0833333333333333,0.1762820512820513,0.16666666666666666,0.4147085497567813,0.6875,wait,0.53125,waiting
all_trials,imgNew/B12T_danger.jpg,293,1.0409556313993173,0.2360655737704918,0.21639344262295082,0.08943054357204487,0.24914675767918087,slow,0.24573378839590443,slow
all_trials,imgNew/B1T_through.jpg,290,1.1137931034482758,0.3591331269349845,0.34674922600619196,0.11360883025979271,0.3275862068965517,through,0.30689655172413793,through
all_trials,imgNew/B2T_whole.jpg,291,1.0859106529209621,0.21835443037974683,0.20569620253164558,0.24554952782800885,0.5223367697594502,pie,0.47079037800687284,pie
all_trials,imgNew/B4T_memory.jpg,294,1.0204081632653061,0.3233333333333333,0.25666666666666665,0.03632107023411371,0.09523809523809523,memory,0.08163265306122448,memory
all_trials,imgNew/B6T_identification.jpg,298,1.0436241610738255,0.2797427652733119,0.2540192926045016,0.08343532828544757,0.19463087248322147,identification,0.1912751677852349,identification
all_trials,imgNew/B7T_fast.jpg,288,1.0833333333333333,0.12179487179487179,0.10897435897435898,0.516406958529145,0.7708333333333334,fast,0.75,fast
all_trials,imgNew/B8T_rough.jpg,292,1.0547945205479452,0.237012987012987,0.22727272727272727,0.3268750793180761,0.5993150684931506,rough,0.589041095890411,rough
all_trials,imgNew/B9T_scent.jpg,293,1.0648464163822526,0.33974358974358976,0.32371794871794873,0.061175694616209086,0.23208191126279865,smell,0.20477815699658702,smell
all_trials,imgNew/C10T_jagged.jpg,298,1.0436241610738255,0.33440514469453375,0.2990353697749196,0.08536458873560834,0.26174496644295303,jagged,0.25838926174496646,jagged
all_trials,imgNew/C11T_kiss.jpg,287,1.0905923344947734,0.134185303514377,0.12140575079872204,0.5668878512328992,0.818815331010453,kiss,0.7456445993031359,kiss
